# Legal English ref prefixes of the Sefaria corpus, one per addressable leaf node.
# <ref prefix><TAB><index_offsets_by_depth for depth>=2, comma separated, else empty>
# Trailing spaces in the prefix are significant -- see the generator's refPrefix.
# Regenerate: .github/scripts/refresh_sefaria_ref_prefixes.py <export-root>
A Dictionary of the Talmud, Abbreviations,  	
A Dictionary of the Talmud, Bibliography,  	
A Dictionary of the Talmud, Preface,  	
A Jewish Critique of the Philosophy of Martin Buber, Editor's Introduction,  	
A Jewish Critique of the Philosophy of Martin Buber, I The Teachings of Buber,  	
A Jewish Critique of the Philosophy of Martin Buber, II Buber's Testimony,  	
A Jewish Critique of the Philosophy of Martin Buber, III The Biblical Encounter,  	
A Jewish Critique of the Philosophy of Martin Buber, IV Buber's Metaphysics; Two Notes of the One Chord,  	
A Jewish Critique of the Philosophy of Martin Buber, Postscript,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix A; Review of Physiology of Menstruation and Pregnancy,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix B; Taking Care of Oneself During and After Pregnancy,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix C; Sexual Anatomy and Physiology,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix D; Mikveh Construction,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix E; Checklist Prior to Mikveh Immersion,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix F; Veset Calendar,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix G; The Marriage Contract,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix H; Issues Involved in a Married Woman Covering her Hair,  	
A Lifetime Companion to the Laws of Jewish Family Life, Appendix I; Authorities Cited and Their Works Relevant to Hilchot Niddah,  	
Abarbanel on Torah, Leviticus, Introduction,  	
Abarbanel on Torah, Numbers,  	
Abarbanel on Torah, Numbers, Introduction,  	
Abarbanel on Zechariah 	
Abarbanel on Zephaniah 	
Abraham Cohen Footnotes to the English Translation of Masechet Berakhot 	
Abudarham, Chanukah,  	
Abudarham, Concluding Poems,  	
Abudarham, Fasts, Prayers,  	
Abudarham, Fasts, Tishah B'Av,  	
Abudarham, First Gate; Laws of Kriat Shema,  	
Abudarham, Hebrew Calendar, Calendar Patterns,  	
Abudarham, Hebrew Calendar, Gate of Designations and Postponements,  	
Abudarham, Hebrew Calendar, Gate of Designations of the Years,  	
Abudarham, Hebrew Calendar, Gate of Moladot (Initial Appearances),  	
Abudarham, Hebrew Calendar, Gate of Seasons (Tekufot),  	
Abudarham, Hebrew Calendar, Introduction,  	
Abudarham, Hebrew Calendar, Order of Parashiot and Haftarot,  	
Abudarham, Introduction,  	
Abudarham, Laws of Blessings, Eighth Gate; Blessings of Praise and Thanksgiving,  	
Abudarham, Laws of Blessings, Fifth Gate; Ha'etz (Fruit of the Tree),  	
Abudarham, Laws of Blessings, First Gate; Blessing on Bread,  	
Abudarham, Laws of Blessings, Fourth Gate; Ha'adama (Fruit of the Ground),  	
Abudarham, Laws of Blessings, Introduction,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Betrothal Blessing,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Circumcision,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Eruvin,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Havinenu and Short Prayer,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Marriage Blessings,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Mezuzah, Parapet, Covering Blood and Separation of Challah,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Mourning,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Nail Cutting,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Redeeming Neta Revai,  	
Abudarham, Laws of Blessings, Ninth Gate; Blessings on Commandments, Redeeming a Firstborn,  	
Abudarham, Laws of Blessings, Second Gate; Mezonot (Grain Products),  	
Abudarham, Laws of Blessings, Seventh Gate; Blessings on Scents,  	
Abudarham, Laws of Blessings, Sixth Gate; Food During and After the Meal,  	
Abudarham, Laws of Blessings, Third Gate; Shehakol (Everything),  	
Abudarham, Pesach, Customs for the Days of the Counting (Sefirah),  	
Abudarham, Pesach, Evening Service,  	
Abudarham, Pesach, Festival Prayers,  	
Abudarham, Pesach, First Part of the Seder,  	
Abudarham, Pesach, Month of Nissan,  	
Abudarham, Pesach, Second Part of the Seder,  	
Abudarham, Pesach, The Haggadah,  	
Abudarham, Purim,  	
Abudarham, Rosh Chodesh,  	
Abudarham, Rosh HaShanah, Blowing the Shofar,  	
Abudarham, Rosh HaShanah, Musaf,  	
Abudarham, Rosh HaShanah, Prayers,  	
Abudarham, Second Gate; Prayer,  	
Abudarham, Shabbat Prayers, Afternoon Service,  	
Abudarham, Shabbat Prayers, Day Meal,  	
Abudarham, Shabbat Prayers, Evening Service,  	
Abudarham, Shabbat Prayers, Kiddush,  	
Abudarham, Shabbat Prayers, Mishna of 'Bameh Madlikin',  	
Abudarham, Shabbat Prayers, Morning Service,  	
Abudarham, Shabbat Prayers, Musaf,  	
Abudarham, Shabbat Prayers, Shabbat eve,  	
Abudarham, Shabbat Prayers, The Conclusion of Shabbat,  	
Abudarham, Shabbat Prayers, Three Meals of Shabbos,  	
Abudarham, Shabbat Prayers, Torah Reading,  	
Abudarham, Shavuot,  	
Abudarham, Sukkot and Shemini Atzeret, First Days,  	
Abudarham, Sukkot and Shemini Atzeret, Hoshana Rabba,  	
Abudarham, Sukkot and Shemini Atzeret, Shmini Atzeret,  	
Abudarham, Third Gate; Blessings on Commandments,  	
Abudarham, Weekday Prayers, Afternoon Service,  	
Abudarham, Weekday Prayers, Amidah Repetition,  	
Abudarham, Weekday Prayers, Amidah,  	
Abudarham, Weekday Prayers, Baraita of Rabbi Ishmael,  	
Abudarham, Weekday Prayers, Bedtime Recitation of Shema,  	
Abudarham, Weekday Prayers, Blessings on Torah,  	
Abudarham, Weekday Prayers, Blessings on the Shema,  	
Abudarham, Weekday Prayers, Compensatory Prayer (Tashlumin),  	
Abudarham, Weekday Prayers, Evening Service,  	
Abudarham, Weekday Prayers, Kaddish and Barchu,  	
Abudarham, Weekday Prayers, Laws of Prayer,  	
Abudarham, Weekday Prayers, Mishnah on the Location of the Sacrifices,  	
Abudarham, Weekday Prayers, Morning Blessings,  	
Abudarham, Weekday Prayers, Post Amidah,  	
Abudarham, Weekday Prayers, Songs of Praise,  	
Abudarham, Weekday Prayers, Tefillin,  	
Abudarham, Weekday Prayers, Torah Reading,  	
Abudarham, Weekday Prayers, Tzitzit,  	
Abudarham, Yom Kippur, Confession,  	
Abudarham, Yom Kippur, Kol Nidrei,  	
Abudarham, Yom Kippur, Prayers,  	
Abudarham, Yom Kippur, Yom Kippur Eve,  	
Adam Min HaAdamah, Preface,  	
Adam Min HaAdamah, Sheviit,  	
Adam Min HaAdamah, Sheviit, Introduction,  	
Adam Min HaAdamah, The Land,  	
Adam Min HaAdamah, The Land, Introduction,  	
Adam Min HaAdamah, Yovel,  	
Adam Min HaAdamah, Yovel, Introduction,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Achrei Mot,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Balak,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Bamidbar,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Bechukotai,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Beha'alotcha,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Behar,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Bereshit,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Beshalach,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Bo,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Chayei Sara,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Chukat,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Devarim,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Eikev,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Emor,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Ha'Azinu,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Haftarah for Shabbat Erev Rosh Chodesh,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Haftarah for Shabbat Rosh Chodesh,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Introduction,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Kedoshim,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Ki Tavo,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Ki Teitzei,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Ki Tisa,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Korach,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Lech Lecha,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Masei,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Matot,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Metzora,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Miketz,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Mishpatim,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Nasso,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Nitzavim,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Noach,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Pekudei,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Pinchas,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Re'eh,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Sh'lach,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Shemot,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Shmini,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Shoftim,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Tazria,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Terumah,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Tetzaveh,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Title Page,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Toldot,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Tzav,  	
Aderet Eliyahu (Rabbi Yosef Chaim), V'Zot HaBerachah,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vaera,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vaetchanan,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayakhel,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayechi,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayeilech,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayera,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayeshev,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayetzei,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayigash,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayikra,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Vayishlach,  	
Aderet Eliyahu (Rabbi Yosef Chaim), Yitro,  	
Aderet Eliyahu, Deuteronomy,  	
Aderet Eliyahu, Exodus,  	
Aderet Eliyahu, Genesis,  	
Aderet Eliyahu, Introduction,  	
Aderet Eliyahu, Leviticus,  	
Aderet Eliyahu, Numbers,  	
Admat Kodesh, Choshen Mishpat,  	
Admat Kodesh, Even HaEzer,  	
Admat Kodesh, Orach Chayim,  	
Admat Kodesh, Yoreh De'ah,  	
Against Apion 	
Against Flaccus,  	
Against Flaccus, Appendix,  	
Against Flaccus, Introduction,  	
Aggadat Bereshit 	
Agra DeKala, Achrei Mot,  	
Agra DeKala, Balak,  	
Agra DeKala, Bamidbar,  	
Agra DeKala, Bechukotai,  	
Agra DeKala, Beha'alotcha,  	
Agra DeKala, Behar,  	
Agra DeKala, Bereshit,  	
Agra DeKala, Beshalach,  	
Agra DeKala, Bo,  	
Agra DeKala, Chayei Sara,  	
Agra DeKala, Chukat,  	
Agra DeKala, Devarim,  	
Agra DeKala, Eikev,  	
Agra DeKala, Emor,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Aggadat Bereshit,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Megaleh Amukot,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Midrash Rabbah,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Midrash Tanchuma,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Onkelos,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Rashi,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Sheiltot,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Targum Yerushalmi,  	
Agra DeKala, Insights on Midrash, Targum and Rashi on Bereshit, Noach and Lech Lecha, Targum Yonatan,  	
Agra DeKala, Kedoshim,  	
Agra DeKala, Ki Tavo,  	
Agra DeKala, Ki Teitzei,  	
Agra DeKala, Ki Tisa,  	
Agra DeKala, Korach,  	
Agra DeKala, Lech Lecha,  	
Agra DeKala, Masei,  	
Agra DeKala, Matot,  	
Agra DeKala, Metzora,  	
Agra DeKala, Miketz,  	
Agra DeKala, Mishpatim,  	
Agra DeKala, Nasso,  	
Agra DeKala, Nitzavim,  	
Agra DeKala, Noach,  	
Agra DeKala, Pekudei,  	
Agra DeKala, Permutations of Bereshit,  	
Agra DeKala, Pinchas,  	
Agra DeKala, Re'eh,  	
Agra DeKala, Sh'lach,  	
Agra DeKala, Shemot,  	
Agra DeKala, Shmini,  	
Agra DeKala, Shoftim,  	
Agra DeKala, Tazria,  	
Agra DeKala, Terumah,  	
Agra DeKala, Tetzaveh,  	
Agra DeKala, Toldot,  	
Agra DeKala, Tzav,  	
Agra DeKala, Vaera,  	
Agra DeKala, Vaetchanan,  	
Agra DeKala, Vayakhel,  	
Agra DeKala, Vayechi,  	
Agra DeKala, Vayeilech,  	
Agra DeKala, Vayera,  	
Agra DeKala, Vayeshev,  	
Agra DeKala, Vayetzei,  	
Agra DeKala, Vayigash,  	
Agra DeKala, Vayikra,  	
Agra DeKala, Vayishlach,  	
Agra DeKala, Yitro,  	
Ahavat Chesed, Addenda,  	
Ahavat Chesed, Epilogue,  	
Ahavat Chesed, Foreword,  	
Ahavat Chesed, Introduction,  	
Ahavat Chesed, Part I, Laws of Loans,  	
Ahavat Chesed, Part I, Laws of Pledges,  	
Ahavat Chesed, Part I, Laws of Wages,  	
Ahavat Chesed, Part I, Laws of Wages, Introduction,  	
Ahavat Chesed, Part II,  	
Ahavat Chesed, Part III,  	
Ahavat David,  	
Ahavat David, Title,  	
Ahavat Yehonatan, Haftarah for Shabbat Erev Rosh Chodesh,  	
Ahavat Yehonatan, Haftarah for Shabbat Rosh Chodesh,  	
Ahavat Yehonatan, Haftarah for the Eighth Day of Pesach,  	
Ahavat Yehonatan, Haftarah for the First Day of Pesach,  	
Ahavat Yehonatan, Haftarah for the First Day of Rosh Hashanah,  	
Ahavat Yehonatan, Haftarah for the First Day of Sukkot,  	
Ahavat Yehonatan, Haftarah for the Second Day of Pesach,  	
Ahavat Yehonatan, Haftarah for the Second Day of Shavuot,  	
Ahavat Yehonatan, Haftarah for the Seventh Day of Pesach,  	
Ahavat Yehonatan, Haftarah of Achrei Mot Kedoshim,  	
Ahavat Yehonatan, Haftarah of Balak,  	
Ahavat Yehonatan, Haftarah of Bamidbar,  	
Ahavat Yehonatan, Haftarah of Beha'alotcha,  	
Ahavat Yehonatan, Haftarah of Behar Bechukotai,  	
Ahavat Yehonatan, Haftarah of Bereshit,  	
Ahavat Yehonatan, Haftarah of Beshalach,  	
Ahavat Yehonatan, Haftarah of Bo,  	
Ahavat Yehonatan, Haftarah of Chayei Sara,  	
Ahavat Yehonatan, Haftarah of Chukat,  	
Ahavat Yehonatan, Haftarah of Devarim,  	
Ahavat Yehonatan, Haftarah of Eikev,  	
Ahavat Yehonatan, Haftarah of Emor,  	
Ahavat Yehonatan, Haftarah of Ha'azinu,  	
Ahavat Yehonatan, Haftarah of HaChodesh,  	
Ahavat Yehonatan, Haftarah of Ki Tavo,  	
Ahavat Yehonatan, Haftarah of Ki Teitzei,  	
Ahavat Yehonatan, Haftarah of Korach,  	
Ahavat Yehonatan, Haftarah of Lech Lecha,  	
Ahavat Yehonatan, Haftarah of Matot Masei,  	
Ahavat Yehonatan, Haftarah of Miketz and Chanukah,  	
Ahavat Yehonatan, Haftarah of Nasso,  	
Ahavat Yehonatan, Haftarah of Nitzavim,  	
Ahavat Yehonatan, Haftarah of Noach,  	
Ahavat Yehonatan, Haftarah of Parah,  	
Ahavat Yehonatan, Haftarah of Pinchas,  	
Ahavat Yehonatan, Haftarah of Re'eh,  	
Ahavat Yehonatan, Haftarah of Sh'lach,  	
Ahavat Yehonatan, Haftarah of Shabbat Shuva,  	
Ahavat Yehonatan, Haftarah of Shekalim,  	
Ahavat Yehonatan, Haftarah of Shemot,  	
Ahavat Yehonatan, Haftarah of Shmini,  	
Ahavat Yehonatan, Haftarah of Shoftim,  	
Ahavat Yehonatan, Haftarah of Tazria Metzora,  	
Ahavat Yehonatan, Haftarah of Terumah,  	
Ahavat Yehonatan, Haftarah of Toldot,  	
Ahavat Yehonatan, Haftarah of Vaera,  	
Ahavat Yehonatan, Haftarah of Vaetchanan,  	
Ahavat Yehonatan, Haftarah of Vayechi,  	
Ahavat Yehonatan, Haftarah of Vayera,  	
Ahavat Yehonatan, Haftarah of Vayeshev,  	
Ahavat Yehonatan, Haftarah of Vayetzei,  	
Ahavat Yehonatan, Haftarah of Vayigash,  	
Ahavat Yehonatan, Haftarah of Vayikra,  	
Ahavat Yehonatan, Haftarah of Vayishlach,  	
Ahavat Yehonatan, Haftarah of Yitro,  	
Ahavat Yehonatan, Haftarah of Zachor,  	
Ahavat Yehonatan, Introduction,  	
Ahavat Yehonatan, Parashat Bereshit,  	
Ahavat Yehonatan, Parashat Lech Lecha,  	
Ahavat Yisrael 	
Ahevukha Ad Mavet,  	
Ahevukha Ad Mavet, Bibliography,  	
Ahevukha Ad Mavet, Expositions,  	
Ahevukha Ad Mavet, Introduction,  	
Ahevukha Ad Mavet, Preface,  	
Ahevukha Ad Mavet, Summary,  	
Ahevukha Ad Mavet, Talmudic Sources,  	
Akdamut Milin 	
Akeidat Yitzchak,  	
Akeidat Yitzchak, Author's Introduction,  	
Akeidat Yitzchak, Index,  	
Akeidat Yitzchak, Mavo Shearim,  	
Akeidat Yitzchak, Neilat Shearim,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, "for I do not know why I am going to be killed",  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, "that we sinned before You by a begrudging eye",  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, A Reflection into the Future,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, Dread and Trembling,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, Epilogue,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, Guilt and Atonement,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, Introduction,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, Mercy and Compassion,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, Rejuvenation,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, Seeking the Fellowman; I and Thou,  	
Al Kapot HaMan'ul; Homilies for the Days of Awe, The High Holy Days' Shudder,  	
Ali Be'er on Revealment and Concealment in Language 	
Allegorical Interpretation of Genesis, Book I,  	
Allegorical Interpretation of Genesis, Book I, Appendix,  	
Allegorical Interpretation of Genesis, Book I, Introduction,  	
Allegorical Interpretation of Genesis, Book II,  	
Allegorical Interpretation of Genesis, Book II, Appendix,  	
Allegorical Interpretation of Genesis, Book II, Introduction,  	
Allegorical Interpretation of Genesis, Book III,  	
Allegorical Interpretation of Genesis, Book III, Introduction,  	
Alon Bakhut on Lamentations 	
Alshekh on Torah, Deuteronomy,  	
Alshekh on Torah, Exodus,  	
Alshekh on Torah, Genesis,  	
Alshekh on Torah, Introduction,  	
Alshekh on Torah, Leviticus,  	
Alshekh on Torah, Numbers,  	
Amos 	
Amudei Yerushalayim on Jerusalem Talmud Avodah Zarah 	
Amudei Yerushalayim on Jerusalem Talmud Bava Batra 	
Amudei Yerushalayim on Jerusalem Talmud Bava Kamma 	
Amudei Yerushalayim on Jerusalem Talmud Bava Metzia 	
Amudei Yerushalayim on Jerusalem Talmud Beitzah 	
Amudei Yerushalayim on Jerusalem Talmud Berakhot 	
Amudei Yerushalayim on Jerusalem Talmud Bikkurim 	
Amudei Yerushalayim on Jerusalem Talmud Chagigah 	
Amudei Yerushalayim on Jerusalem Talmud Challah 	
Amudei Yerushalayim on Jerusalem Talmud Demai 	
Amudei Yerushalayim on Jerusalem Talmud Eruvin 	
Amudei Yerushalayim on Jerusalem Talmud Gittin 	
